mu_s,sigma_s,K_P4,D50_sert_mg,RMS_pct
0.58009,0.07026,0.23994,126.055,12.2066
0.43516,0.04900,0.47726,69.939,7.9875
0.41275,0.09092,0.24221,124.363,16.4465
0.49774,0.09953,0.20706,65.092,4.3257
0.54458,0.08116,0.22826,77.668,8.9331
0.53050,0.03561,0.35427,166.903,11.2007
0.49969,0.10547,0.43585,153.309,2.7597
0.53994,0.08155,0.30632,167.073,6.9403
0.51147,0.10560,0.27074,127.432,3.9739
0.42755,0.07592,0.41585,139.627,9.1839
0.38103,0.07003,0.28489,149.776,22.9349
0.50567,0.04187,0.16485,86.164,5.8131
0.55693,0.03831,0.27742,158.815,13.3761
0.43089,0.02656,0.48834,84.057,8.3647
0.40782,0.08741,0.44256,135.329,10.6211
0.42373,0.03875,0.37078,162.893,14.8321
0.57855,0.04224,0.47934,96.978,13.9617
0.49439,0.02176,0.47631,107.592,8.7759
0.41966,0.07879,0.22161,116.965,16.0539
0.42668,0.08239,0.26224,156.106,15.6895
0.41853,0.07427,0.16977,99.753,18.1253
0.58079,0.09332,0.39473,121.882,10.9431
0.57474,0.10358,0.36715,98.189,10.2481
0.47142,0.09710,0.33585,141.284,5.1123
0.58586,0.02915,0.15592,113.357,14.2408
0.53404,0.03538,0.35018,73.939,12.3722
0.40409,0.05021,0.18236,129.617,25.2129
0.37316,0.02968,0.22980,73.713,24.9689
0.60668,0.09940,0.20399,88.810,11.4978
0.40370,0.11121,0.42807,155.952,13.1967
0.38817,0.05889,0.36980,98.424,12.6801
0.43678,0.03842,0.38914,152.190,11.4095
0.56516,0.04607,0.18579,150.030,12.9040
0.42897,0.09361,0.43382,106.562,5.1645
0.49802,0.08992,0.45449,106.001,4.3100
0.46381,0.06608,0.22689,87.212,3.8895
0.59141,0.08312,0.18893,128.838,11.5606
0.50502,0.03233,0.29911,89.902,8.5220
0.44154,0.10791,0.16568,115.793,14.0499
0.51549,0.06372,0.48118,72.326,8.9581
0.59876,0.03501,0.24945,165.410,14.2408
0.44618,0.10777,0.37191,82.402,2.7583
0.55947,0.04701,0.27216,95.106,13.0384
0.53350,0.08618,0.37949,132.958,6.5909
0.47703,0.05983,0.32962,105.329,1.8482
0.60604,0.06418,0.30256,86.342,13.6862
0.51449,0.03756,0.31891,165.216,7.5148
0.42450,0.03646,0.24834,143.189,18.5658
0.54195,0.02853,0.46335,138.617,13.4821
0.49656,0.03052,0.50427,60.676,9.0638
0.38049,0.02200,0.44622,159.524,20.7212
0.52519,0.08696,0.38666,148.059,5.2383
0.58235,0.05592,0.25110,163.660,13.0938
0.42232,0.10953,0.39993,158.865,11.7847
0.54315,0.05315,0.42125,160.210,10.8263
0.41588,0.10525,0.13477,125.091,19.7535
0.47949,0.06085,0.14493,163.115,10.1812
0.52535,0.08982,0.21506,157.273,5.2421
0.51281,0.08523,0.45244,100.736,6.1573
